"","name","code"
"617","华夏幸福","600340"
"618","航天动力","600343"
"619","长江通信","600345"
"620","恒力股份","600346"
"621","阳泉煤业","600348"
"622","富通昭和","600349"
"623","山东高速","600350"
"624","亚宝药业","600351"
"625","XD浙江龙","600352"
"626","旭光股份","600353"
"627","敦煌种业","600354"
"628","精伦电子","600355"
"629","恒丰纸业","600356"
"630","承德钒钛","600357"
"631","国旅联合","600358"
"632","新农开发","600359"
"633","华微电子","600360"
"634","华联综超","600361"
"635","江西铜业","600362"
"636","联创光电","600363"
"637","通葡股份","600365"
"638","宁波韵升","600366"
"639","红星发展","600367"
"640","五洲交通","600368"
"641","西南证券","600369"
"642","三房巷","600370"
"643","万向德农","600371"
"644","中航电子","600372"
"645","中文传媒","600373"
"646","华菱星马","600375"
"647","首开股份","600376"
"648","宁沪高速","600377"
"649","XD天科股","600378"
"650","宝光股份","600379"
"651","健康元","600380"
"652","青海春天","600381"
"653","广东明珠","600382"
"654","金地集团","600383"
"655","山东金泰","600385"
"656","北巴传媒","600386"
"657","海越股份","600387"
"658","龙净环保","600388"
"659","江山股份","600389"
"660","五矿资本","600390"
"661","航发科技","600391"
"662","盛和资源","600392"
"663","粤泰股份","600393"
"664","盘江股份","600395"
"665","金山股份","600396"
"666","*ST安煤","600397"
"667","XD海澜之","600398"
"668","抚顺特钢","600399"
"669","红豆股份","600400"
"670","*ST海润","600401"
"671","大有能源","600403"
"672","动力源","600405"
"673","国电南瑞","600406"
"674","*ST安泰","600408"
"675","三友化工","600409"
"676","华胜天成","600410"
"677","小商品城","600415"
"678","湘电股份","600416"
"679","江淮汽车","600418"
"680","天润乳业","600419"
"681","现代制药","600420"
"682","ST仰帆","600421"
"683","昆药集团","600422"
"684","*ST柳化","600423"
"685","青松建化","600425"
"686","华鲁恒升","600426"
"687","中远海特","600428"
"688","三元股份","600429"
"689","退市吉恩","600432"
"690","冠豪高新","600433"
"691","北方导航","600435"
"692","XD片仔癀","600436"
"693","通威股份","600438"
"694","瑞贝卡","600439"
"695","国机通用","600444"
"696","金证股份","600446"
"697","华纺股份","600448"
"698","宁夏建材","600449"
"699","涪陵电力","600452"
"700","博通股份","600455"
"701","宝钛股份","600456"
"702","时代新材","600458"
"703","贵研铂业","600459"
"704","士兰微","600460"
"705","洪城水业","600461"
"706","九有股份","600462"
"707","空港股份","600463"
"708","蓝光发展","600466"
